age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,
36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no,
27,admin.,single,secondary,no,0,yes,no,unknown,27,may,265,1,-1,0,unknown,no,
29,management,single,tertiary,no,1952,yes,no,unknown,14,may,354,1,-1,0,unknown,no,
32,entrepreneur,single,tertiary,no,6259,yes,no,unknown,9,may,230,2,-1,0,unknown,no,
33,blue-collar,married,tertiary,no,6138,yes,no,unknown,20,may,369,1,-1,0,unknown,no,
34,blue-collar,single,secondary,no,3723,yes,no,unknown,27,may,47,5,-1,0,unknown,no,
35,self-employed,married,tertiary,no,35368,yes,no,unknown,21,may,63,1,-1,0,unknown,no,
36,management,married,tertiary,no,860,yes,no,unknown,20,may,294,15,-1,0,unknown,no,
33,blue-collar,married,primary,no,256,yes,no,unknown,21,may,151,2,-1,0,unknown,no,
34,services,married,secondary,no,1270,yes,no,unknown,21,may,494,3,-1,0,unknown,no,
36,admin.,married,secondary,no,1954,yes,yes,unknown,30,may,199,3,-1,0,unknown,no,
37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no,
30,admin.,single,secondary,no,115,yes,no,unknown,6,may,66,3,-1,0,unknown,no,
31,technician,single,tertiary,no,375,yes,no,unknown,9,may,207,1,-1,0,unknown,no,
31,blue-collar,married,secondary,no,664,yes,yes,unknown,21,may,987,3,-1,0,unknown,no,
32,blue-collar,married,secondary,no,-428,yes,no,unknown,13,may,518,1,-1,0,unknown,no,
33,management,divorced,secondary,no,5,yes,no,unknown,13,may,1346,1,-1,0,unknown,yes,
34,admin.,married,secondary,no,3185,yes,no,unknown,13,may,520,1,-1,0,unknown,no,
35,management,divorced,tertiary,no,321,yes,no,unknown,9,may,189,1,-1,0,unknown,no,
31,technician,married,tertiary,no,4315,yes,no,unknown,21,may,359,1,-1,0,unknown,no,
34,management,single,tertiary,no,0,yes,no,unknown,21,may,311,1,-1,0,unknown,no,
35,technician,married,secondary,no,569,yes,no,unknown,21,may,487,5,-1,0,unknown,no,
37,management,single,tertiary,no,493,yes,no,unknown,9,may,328,7,-1,0,unknown,no,
32,blue-collar,single,secondary,no,2696,yes,no,unknown,21,may,445,1,-1,0,unknown,no,
33,blue-collar,married,primary,no,463,yes,no,unknown,23,may,230,1,-1,0,unknown,no,
34,technician,married,secondary,no,1464,yes,no,unknown,23,may,350,1,-1,0,unknown,no,
35,blue-collar,single,primary,no,90,yes,no,unknown,23,may,203,1,-1,0,unknown,no,
37,technician,married,secondary,no,0,yes,no,unknown,23,may,412,6,-1,0,unknown,no,
37,technician,single,secondary,no,6714,yes,no,unknown,23,may,90,1,-1,0,unknown,no,
33,blue-collar,married,primary,no,463,yes,no,unknown,23,may,230,1,-1,0,unknown,no,
34,technician,married,secondary,no,1464,yes,no,unknown,23,may,350,1,-1,0,unknown,no,
35,blue-collar,single,primary,no,90,yes,no,unknown,23,may,203,1,-1,0,unknown,no,
38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,-1,0,unknown,no,
29,technician,single,secondary,no,404,yes,no,unknown,29,may,286,2,-1,0,unknown,no,
31,services,single,secondary,no,629,yes,no,unknown,21,may,369,2,-1,0,unknown,no,
33,technician,married,secondary,no,884,yes,no,unknown,23,may,271,1,-1,0,unknown,no,
35,technician,married,secondary,no,-131,yes,no,unknown,6,may,467,2,-1,0,unknown,no,
35,blue-collar,married,primary,no,994,yes,no,unknown,23,may,1349,8,-1,0,unknown,yes,
36,services,married,secondary,no,380,yes,no,unknown,20,may,26,1,-1,0,unknown,no,
33,blue-collar,married,tertiary,no,6138,yes,no,unknown,20,may,369,1,-1,0,unknown,no,
36,admin.,divorced,secondary,yes,-491,yes,yes,unknown,21,may,671,3,-1,0,unknown,no,
37,services,single,unknown,no,-118,yes,no,unknown,6,may,147,2,-1,0,unknown,no,
36,blue-collar,married,secondary,no,342,yes,yes,unknown,21,may,88,3,-1,0,unknown,no,
36,admin.,divorced,secondary,yes,-491,yes,yes,unknown,21,may,671,3,-1,0,unknown,no,
37,technician,single,secondary,no,3326,yes,no,unknown,21,may,799,1,-1,0,unknown,yes,
38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no,
34,services,married,secondary,no,0,yes,no,unknown,20,may,79,1,-1,0,unknown,no,
35,blue-collar,married,secondary,no,274,yes,yes,unknown,20,may,205,1,-1,0,unknown,no,
36,management,single,tertiary,no,4543,yes,no,unknown,2,jun,252,5,-1,0,unknown,no,
38,management,married,tertiary,no,0,yes,no,unknown,20,may,206,1,-1,0,unknown,no,
38,services,married,tertiary,no,-121,yes,no,unknown,21,may,288,1,-1,0,unknown,no,
38,management,married,tertiary,no,63,yes,no,unknown,21,may,518,1,-1,0,unknown,no,
38,management,married,tertiary,no,63,yes,no,unknown,21,may,518,1,-1,0,unknown,no,
39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no,
27,self-employed,single,secondary,no,78,yes,no,unknown,9,may,825,1,-1,0,unknown,no,
31,management,single,secondary,no,453,yes,no,unknown,9,may,384,2,-1,0,unknown,no,
32,technician,single,secondary,no,1307,yes,no,unknown,28,may,267,2,-1,0,unknown,no,
33,blue-collar,married,secondary,no,-257,yes,no,unknown,12,may,92,4,-1,0,unknown,no,
34,services,married,primary,no,1042,yes,no,unknown,20,may,167,1,-1,0,unknown,no,
35,blue-collar,married,secondary,no,2054,yes,no,unknown,20,may,447,1,-1,0,unknown,no,
36,technician,married,secondary,no,83,yes,no,unknown,8,may,178,1,-1,0,unknown,no,
36,admin.,married,secondary,no,2030,yes,no,unknown,20,may,24,1,-1,0,unknown,no,
37,management,married,tertiary,no,0,yes,no,unknown,7,may,228,1,-1,0,unknown,no,
35,management,married,tertiary,no,317,yes,no,unknown,23,may,162,3,-1,0,unknown,no,
38,management,single,tertiary,no,1746,yes,no,unknown,21,may,139,1,-1,0,unknown,no,
39,blue-collar,divorced,secondary,no,42,yes,no,unknown,6,may,226,2,-1,0,unknown,no,
34,services,married,primary,no,1042,yes,no,unknown,20,may,167,1,-1,0,unknown,no,
35,blue-collar,married,secondary,no,2054,yes,no,unknown,20,may,447,1,-1,0,unknown,no,
36,technician,married,secondary,no,412,yes,yes,unknown,20,may,127,1,-1,0,unknown,no,
39,self-employed,married,tertiary,no,3059,yes,yes,unknown,20,may,394,1,-1,0,unknown,no,
40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no,
26,services,single,secondary,no,187,yes,no,unknown,9,may,341,1,-1,0,unknown,no,
31,services,single,secondary,no,2963,yes,no,unknown,12,may,124,1,-1,0,unknown,no,
32,services,single,secondary,no,2459,yes,yes,unknown,23,may,162,1,-1,0,unknown,no,
33,blue-collar,divorced,secondary,no,75,yes,yes,unknown,12,may,94,2,-1,0,unknown,no,
34,admin.,single,secondary,no,1504,yes,no,unknown,12,may,395,3,-1,0,unknown,no,
34,blue-collar,divorced,secondary,no,3798,yes,no,unknown,23,may,488,1,-1,0,unknown,no,
35,technician,married,secondary,no,1,yes,yes,unknown,21,may,85,1,-1,0,unknown,no,
36,blue-collar,married,secondary,no,222,yes,no,unknown,23,may,188,1,-1,0,unknown,no,
37,blue-collar,married,primary,no,693,yes,no,unknown,7,may,327,3,-1,0,unknown,no,
38,services,married,secondary,no,173,yes,no,unknown,20,may,130,2,-1,0,unknown,no,
31,services,married,secondary,no,1273,yes,no,unknown,23,may,442,1,-1,0,unknown,no,
32,services,single,secondary,no,2459,yes,yes,unknown,23,may,162,1,-1,0,unknown,no,
34,services,single,secondary,no,84,yes,no,unknown,23,may,299,1,-1,0,unknown,no,
34,blue-collar,divorced,secondary,no,3798,yes,no,unknown,23,may,488,1,-1,0,unknown,no,
39,admin.,divorced,secondary,no,-141,yes,no,unknown,13,may,148,1,-1,0,unknown,no,
40,technician,single,unknown,no,-5,yes,no,unknown,6,may,78,2,-1,0,unknown,no,
40,management,married,tertiary,no,655,yes,no,unknown,26,may,227,1,-1,0,unknown,no,
41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,no,
26,blue-collar,married,secondary,no,3108,yes,no,unknown,13,may,481,3,-1,0,unknown,no,
32,self-employed,single,secondary,no,4,yes,no,unknown,23,may,233,2,-1,0,unknown,no,
33,blue-collar,married,primary,no,-81,yes,no,unknown,8,may,267,1,-1,0,unknown,no,
34,admin.,married,secondary,no,645,yes,no,unknown,19,may,420,1,-1,0,unknown,no,
34,blue-collar,single,secondary,yes,-369,yes,no,unknown,23,may,353,2,-1,0,unknown,no,
35,services,married,tertiary,no,0,yes,no,unknown,2,jun,312,2,-1,0,unknown,no,
36,technician,single,secondary,no,656,no,no,unknown,21,may,261,1,-1,0,unknown,no,
37,blue-collar,married,secondary,no,454,yes,no,unknown,12,may,115,1,-1,0,unknown,no,
38,technician,married,secondary,no,133,yes,no,unknown,28,may,156,1,-1,0,unknown,no,
41,management,married,tertiary,no,517,yes,no,unknown,5,may,251,1,-1,0,unknown,no,
32,technician,single,secondary,no,0,yes,yes,unknown,26,may,916,2,-1,0,unknown,no,
35,entrepreneur,single,secondary,no,12961,yes,no,unknown,21,may,272,2,-1,0,unknown,no,
36,management,married,tertiary,no,849,yes,yes,unknown,21,may,958,2,-1,0,unknown,yes,
36,admin.,single,secondary,no,98,yes,no,unknown,21,may,68,1,-1,0,unknown,no,
33,blue-collar,married,primary,no,256,yes,no,unknown,21,may,151,2,-1,0,unknown,no,
34,services,married,secondary,no,1270,yes,no,unknown,21,may,494,3,-1,0,unknown,no,
41,management,married,tertiary,no,666,yes,no,unknown,21,may,253,3,-1,0,unknown,no,
32,blue-collar,married,primary,no,697,yes,no,unknown,23,may,700,1,-1,0,unknown,no,
35,blue-collar,single,secondary,no,470,yes,no,unknown,21,may,123,1,-1,0,unknown,no,
36,services,married,secondary,no,5024,no,no,unknown,21,may,139,1,-1,0,unknown,no,
36,services,married,secondary,no,5024,no,no,unknown,21,may,139,1,-1,0,unknown,no,
38,blue-collar,married,secondary,no,620,yes,yes,unknown,21,may,420,1,-1,0,unknown,no,
39,technician,married,secondary,no,597,yes,no,unknown,21,may,298,2,-1,0,unknown,no,
40,blue-collar,married,primary,no,1136,yes,no,unknown,21,may,86,1,-1,0,unknown,no,
41,management,single,tertiary,no,1216,yes,no,unknown,21,may,53,3,-1,0,unknown,no,
39,management,married,tertiary,no,12,yes,no,unknown,23,may,130,1,-1,0,unknown,no,
34,blue-collar,married,secondary,no,2495,yes,no,unknown,23,may,924,1,-1,0,unknown,yes,
35,management,married,secondary,no,339,yes,no,unknown,23,may,317,1,-1,0,unknown,no,
41,self-employed,married,tertiary,no,-326,yes,yes,unknown,23,may,86,2,-1,0,unknown,no,
41,self-employed,married,tertiary,no,-326,yes,yes,unknown,23,may,86,2,-1,0,unknown,no,
41,self-employed,married,tertiary,no,-326,yes,yes,unknown,23,may,86,2,-1,0,unknown,no,
41,self-employed,married,tertiary,no,-326,yes,yes,unknown,23,may,86,2,-1,0,unknown,no,
41,self-employed,married,tertiary,no,-326,yes,yes,unknown,23,may,86,2,-1,0,unknown,no,
32,blue-collar,married,primary,no,697,yes,no,unknown,23,may,700,1,-1,0,unknown,no,
41,self-employed,married,tertiary,no,-326,yes,yes,unknown,23,may,86,2,-1,0,unknown,no,
41,self-employed,married,tertiary,no,-326,yes,yes,unknown,23,may,86,2,-1,0,unknown,no,
41,self-employed,married,tertiary,no,-326,yes,yes,unknown,23,may,86,2,-1,0,unknown,no,
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no,
36,blue-collar,single,secondary,no,3254,yes,no,unknown,28,may,300,3,-1,0,unknown,no,
37,management,single,tertiary,no,600,yes,no,unknown,5,may,152,1,-1,0,unknown,no,
38,management,married,tertiary,no,216,yes,no,unknown,21,may,1307,1,-1,0,unknown,no,
39,services,single,secondary,no,609,no,no,unknown,5,jun,372,1,-1,0,unknown,no,
40,blue-collar,married,secondary,no,877,yes,no,unknown,20,may,207,6,-1,0,unknown,no,
37,management,married,tertiary,no,5432,yes,yes,unknown,20,may,774,1,-1,0,unknown,no,
41,blue-collar,married,unknown,no,732,yes,no,unknown,16,may,25,1,-1,0,unknown,no,
42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,yes,
43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,no,
24,blue-collar,married,primary,no,-427,yes,no,unknown,13,may,165,3,-1,0,unknown,no,
29,blue-collar,married,unknown,no,135,yes,no,unknown,23,may,150,6,-1,0,unknown,no,
31,technician,single,tertiary,no,375,yes,no,unknown,9,may,207,1,-1,0,unknown,no,
31,management,single,secondary,no,453,yes,no,unknown,9,may,384,2,-1,0,unknown,no,
32,unemployed,single,secondary,no,331,yes,no,unknown,9,may,211,2,-1,0,unknown,no,
33,blue-collar,married,secondary,no,-825,yes,no,unknown,23,may,228,2,-1,0,unknown,no,
34,blue-collar,married,secondary,no,6411,yes,yes,unknown,9,may,226,2,-1,0,unknown,no,
35,management,single,secondary,yes,-202,yes,no,unknown,20,may,268,3,-1,0,unknown,no,
37,blue-collar,divorced,secondary,no,48,yes,no,unknown,8,may,133,2,-1,0,unknown,no,
38,services,married,secondary,no,-314,yes,no,unknown,28,may,66,2,-1,0,unknown,no,
39,blue-collar,single,secondary,no,169,yes,no,unknown,9,may,38,1,-1,0,unknown,no,
37,blue-collar,single,primary,no,6969,yes,no,unknown,20,may,412,1,-1,0,unknown,no,
40,technician,married,unknown,no,698,yes,no,unknown,8,may,223,2,-1,0,unknown,no,
41,management,married,tertiary,no,223,yes,no,unknown,16,may,124,1,-1,0,unknown,no,
42,technician,married,secondary,no,0,no,yes,unknown,8,may,7,3,-1,0,unknown,no,
43,services,single,unknown,no,0,no,no,unknown,5,may,73,1,-1,0,unknown,no,
32,blue-collar,married,secondary,no,478,yes,no,unknown,3,jun,200,1,-1,0,unknown,no,
34,technician,single,tertiary,no,299,yes,no,unknown,21,may,205,2,-1,0,unknown,no,
36,blue-collar,married,secondary,no,21,yes,no,unknown,28,may,89,1,-1,0,unknown,no,
38,management,married,tertiary,no,126,yes,no,unknown,21,may,164,2,-1,0,unknown,no,
39,blue-collar,single,secondary,no,1961,no,no,unknown,21,may,216,1,-1,0,unknown,no,
39,blue-collar,single,secondary,no,1961,no,no,unknown,21,may,216,1,-1,0,unknown,no,
40,services,divorced,secondary,no,0,no,no,unknown,21,may,111,4,-1,0,unknown,no,
35,technician,married,secondary,no,1,yes,yes,unknown,21,may,85,1,-1,0,unknown,no,
43,housemaid,married,secondary,no,-177,yes,no,unknown,21,may,172,2,-1,0,unknown,no,
43,housemaid,married,secondary,no,-177,yes,no,unknown,21,may,172,2,-1,0,unknown,no,
34,technician,single,tertiary,no,299,yes,no,unknown,21,may,205,2,-1,0,unknown,no,
38,management,married,tertiary,no,126,yes,no,unknown,21,may,164,2,-1,0,unknown,no,
39,blue-collar,single,secondary,no,1961,no,no,unknown,21,may,216,1,-1,0,unknown,no,
39,blue-collar,single,secondary,no,1961,no,no,unknown,21,may,216,1,-1,0,unknown,no,
44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no,
31,technician,married,secondary,no,2363,yes,no,unknown,13,may,247,1,-1,0,unknown,no,
31,technician,married,secondary,no,2363,yes,no,unknown,13,may,247,1,-1,0,unknown,no,
33,blue-collar,married,secondary,no,-112,yes,no,unknown,28,may,132,1,-1,0,unknown,no,
34,services,single,secondary,no,23,no,no,unknown,13,may,109,1,-1,0,unknown,no,
35,services,single,secondary,no,511,yes,yes,unknown,23,may,472,1,-1,0,unknown,no,
36,admin.,divorced,secondary,no,-37,yes,no,unknown,27,may,151,1,-1,0,unknown,no,
37,technician,single,secondary,no,435,yes,no,unknown,26,may,210,1,-1,0,unknown,no,
38,blue-collar,married,secondary,no,171,yes,no,unknown,9,may,286,5,-1,0,unknown,no,
39,services,married,secondary,no,1438,yes,no,unknown,20,may,212,2,-1,0,unknown,no,
40,admin.,single,secondary,no,-109,yes,yes,unknown,6,may,170,1,-1,0,unknown,no,
39,management,married,tertiary,no,351,yes,no,unknown,20,may,999,3,-1,0,unknown,no,
41,services,married,unknown,no,4,no,no,unknown,6,may,284,2,-1,0,unknown,no,
43,technician,married,tertiary,no,527,yes,no,unknown,26,may,166,12,-1,0,unknown,no,
44,admin.,married,secondary,no,58544,yes,no,unknown,7,may,144,2,-1,0,unknown,no,
39,technician,married,secondary,no,287,yes,no,unknown,23,may,63,1,-1,0,unknown,no,
42,services,married,primary,no,2557,yes,no,unknown,23,may,28,3,-1,0,unknown,no,
43,entrepreneur,married,secondary,no,0,no,no,unknown,3,jun,1025,7,-1,0,unknown,yes,
44,services,divorced,secondary,no,0,yes,yes,unknown,13,may,97,1,-1,0,unknown,no,
44,blue-collar,single,unknown,no,0,yes,no,unknown,23,may,354,4,-1,0,unknown,no,
41,retired,married,secondary,no,287,no,no,unknown,23,may,236,2,-1,0,unknown,no,
41,retired,married,secondary,no,287,no,no,unknown,23,may,236,2,-1,0,unknown,no,
41,retired,married,secondary,no,287,no,no,unknown,23,may,236,2,-1,0,unknown,no,
39,management,married,tertiary,no,12,yes,no,unknown,23,may,130,1,-1,0,unknown,no,
34,blue-collar,married,secondary,no,2495,yes,no,unknown,23,may,924,1,-1,0,unknown,yes,
35,management,married,secondary,no,339,yes,no,unknown,23,may,317,1,-1,0,unknown,no,
44,blue-collar,single,unknown,no,0,yes,no,unknown,23,may,354,4,-1,0,unknown,no,
44,blue-collar,single,unknown,no,0,yes,no,unknown,23,may,354,4,-1,0,unknown,no,
39,technician,married,secondary,no,287,yes,no,unknown,23,may,63,1,-1,0,unknown,no,
42,services,married,primary,no,2557,yes,no,unknown,23,may,28,3,-1,0,unknown,no,
44,blue-collar,single,unknown,no,0,yes,no,unknown,23,may,354,4,-1,0,unknown,no,
44,blue-collar,single,unknown,no,0,yes,no,unknown,23,may,354,4,-1,0,unknown,no,
41,retired,married,secondary,no,287,no,no,unknown,23,may,236,2,-1,0,unknown,no,
41,retired,married,secondary,no,287,no,no,unknown,23,may,236,2,-1,0,unknown,no,
41,retired,married,secondary,no,287,no,no,unknown,23,may,236,2,-1,0,unknown,no,
39,management,married,tertiary,no,12,yes,no,unknown,23,may,130,1,-1,0,unknown,no,
34,blue-collar,married,secondary,no,2495,yes,no,unknown,23,may,924,1,-1,0,unknown,yes,
35,management,married,secondary,no,339,yes,no,unknown,23,may,317,1,-1,0,unknown,no,
45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,no,
30,technician,single,tertiary,no,880,yes,yes,unknown,19,may,967,6,-1,0,unknown,yes,
34,blue-collar,married,primary,no,-144,yes,no,unknown,6,may,79,2,-1,0,unknown,no,
35,blue-collar,single,primary,no,398,yes,no,unknown,8,may,34,1,-1,0,unknown,no,
36,admin.,married,secondary,no,614,yes,no,unknown,23,may,13,5,-1,0,unknown,no,
36,services,single,secondary,no,9713,yes,no,unknown,27,may,72,3,-1,0,unknown,no,
34,blue-collar,single,secondary,no,3723,yes,no,unknown,27,may,47,5,-1,0,unknown,no,
35,technician,married,secondary,no,712,yes,no,unknown,27,may,266,4,-1,0,unknown,no,
36,technician,married,primary,no,1653,yes,yes,unknown,27,may,336,10,-1,0,unknown,no,
38,admin.,married,secondary,no,8,yes,no,unknown,7,may,125,1,-1,0,unknown,no,
38,blue-collar,married,secondary,no,266,yes,no,unknown,7,may,287,1,-1,0,unknown,no,
38,blue-collar,married,primary,no,83,yes,no,unknown,7,may,140,2,-1,0,unknown,no,
40,blue-collar,married,primary,no,1061,yes,no,unknown,15,may,191,4,-1,0,unknown,no,
42,admin.,divorced,secondary,no,-551,yes,yes,unknown,26,may,147,6,-1,0,unknown,no,
43,services,divorced,secondary,no,1040,yes,no,unknown,19,may,552,3,-1,0,unknown,yes,
44,technician,divorced,secondary,no,-562,yes,no,unknown,27,may,159,5,-1,0,unknown,no,
38,technician,married,secondary,no,254,yes,no,unknown,27,may,359,6,-1,0,unknown,no,
36,services,single,secondary,no,-330,yes,no,unknown,27,may,256,2,-1,0,unknown,no,
38,technician,married,secondary,no,750,yes,no,unknown,27,may,265,2,-1,0,unknown,no,
41,technician,married,tertiary,no,725,yes,yes,unknown,27,may,87,3,-1,0,unknown,no,
44,blue-collar,married,primary,no,1432,yes,yes,unknown,27,may,63,9,-1,0,unknown,no,
45,blue-collar,married,primary,no,323,yes,no,unknown,13,may,276,2,-1,0,unknown,no,
34,blue-collar,single,secondary,yes,-369,yes,no,unknown,23,may,353,2,-1,0,unknown,no,
36,services,single,secondary,no,-295,yes,yes,unknown,27,may,132,3,-1,0,unknown,no,
36,services,single,secondary,no,9713,yes,no,unknown,27,may,72,3,-1,0,unknown,no,
34,blue-collar,single,secondary,no,3723,yes,no,unknown,27,may,47,5,-1,0,unknown,no,
35,technician,married,secondary,no,712,yes,no,unknown,27,may,266,4,-1,0,unknown,no,
36,technician,married,primary,no,1653,yes,yes,unknown,27,may,336,10,-1,0,unknown,no,
45,entrepreneur,divorced,tertiary,no,0,yes,no,unknown,13,may,170,1,-1,0,unknown,no,
46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no,
30,blue-collar,married,primary,no,3,yes,no,unknown,8,may,147,1,-1,0,unknown,no,
32,management,single,tertiary,no,0,no,no,unknown,16,may,91,1,-1,0,unknown,no,
36,technician,married,secondary,no,474,yes,no,unknown,27,may,59,1,-1,0,unknown,no,
37,blue-collar,married,primary,no,660,yes,yes,unknown,20,may,170,2,-1,0,unknown,no,
38,admin.,divorced,tertiary,no,86,yes,no,unknown,6,may,218,1,-1,0,unknown,no,
39,management,single,tertiary,no,220,yes,no,unknown,8,may,87,2,-1,0,unknown,no,
40,unemployed,single,secondary,no,1744,yes,no,unknown,21,may,465,11,-1,0,unknown,no,
41,management,married,primary,no,-679,yes,yes,unknown,28,may,209,2,-1,0,unknown,no,
42,management,divorced,tertiary,no,497,no,no,unknown,15,may,84,22,-1,0,unknown,no,
43,blue-collar,married,primary,no,-120,yes,no,unknown,3,jun,46,1,-1,0,unknown,no,
43,blue-collar,married,primary,no,-120,yes,no,unknown,3,jun,46,1,-1,0,unknown,no,
44,blue-collar,married,primary,no,271,yes,yes,unknown,9,may,94,1,-1,0,unknown,no,
